query,test,score,match_start,match_end
c4f0f58d1af2223da0519dc0496e7600,afeb2b96e36f1b38548959b3494a91e7,0.8054801084206751,52,65
57597962178fb06d54a61ba34ef93149,afeb2b96e36f1b38548959b3494a91e7,0.7692298856526201,100,150
8e8a6c4cdc765554d2d672af7d333ba8,afeb2b96e36f1b38548959b3494a91e7,0.7888897602778338,66,95
589ffaa96c786aa40d28b9eb18cfd631,afeb2b96e36f1b38548959b3494a91e7,0.8637120289014124,29,57
23af5df5d6890963802b821ce008517c,afeb2b96e36f1b38548959b3494a91e7,0.8429953964929514,48,76
2a713d38cde55f9c0ed7af6cea3d1ffb,afeb2b96e36f1b38548959b3494a91e7,0.8074622108810151,17,54
a3a85647de73d6535f730357028f45cc,afeb2b96e36f1b38548959b3494a91e7,0.8245175409544379,65,102
591ce61a1b730ebc8568ba9f862729b0,afeb2b96e36f1b38548959b3494a91e7,0.861932347028582,65,98
8aaff95ffff5a6812d962964a4bd44c3,afeb2b96e36f1b38548959b3494a91e7,0.8172565126815433,65,96
367ac575452737ce9b40990bc17ae953,afeb2b96e36f1b38548959b3494a91e7,0.8478513074122966,18,50
5f83115c31f3aee2007fc409a7526e3d,afeb2b96e36f1b38548959b3494a91e7,0.8613052733662021,48,90
57597962178fb06d54a61ba34ef93149,afeb2b96e36f1b38548959b3494a91e7,0.7692298856526201,100,150
8e8a6c4cdc765554d2d672af7d333ba8,afeb2b96e36f1b38548959b3494a91e7,0.7888897602778338,66,95
589ffaa96c786aa40d28b9eb18cfd631,afeb2b96e36f1b38548959b3494a91e7,0.8637120289014124,29,57
23af5df5d6890963802b821ce008517c,afeb2b96e36f1b38548959b3494a91e7,0.8429953964929514,48,76
2a713d38cde55f9c0ed7af6cea3d1ffb,afeb2b96e36f1b38548959b3494a91e7,0.8074622108810151,17,54
a3a85647de73d6535f730357028f45cc,afeb2b96e36f1b38548959b3494a91e7,0.8245175409544379,65,102
591ce61a1b730ebc8568ba9f862729b0,afeb2b96e36f1b38548959b3494a91e7,0.861932347028582,65,98
8aaff95ffff5a6812d962964a4bd44c3,afeb2b96e36f1b38548959b3494a91e7,0.8172565126815433,65,96
367ac575452737ce9b40990bc17ae953,afeb2b96e36f1b38548959b3494a91e7,0.8478513074122966,18,50
5f83115c31f3aee2007fc409a7526e3d,afeb2b96e36f1b38548959b3494a91e7,0.8613052733662021,48,90
8917655f28bcb6eb2055f0adbf2a6854,afeb2b96e36f1b38548959b3494a91e7,0.8652160198588088,76,118
fa6ce17c23cb6a3f9adb25345185278e,afeb2b96e36f1b38548959b3494a91e7,0.7738827835311354,66,97
9dc1775eab1c131e03ebb41c6cc4deba,afeb2b96e36f1b38548959b3494a91e7,0.835350867888148,87,114
1abf5c68de8a19b4eb027963ed5191a9,afeb2b96e36f1b38548959b3494a91e7,0.8271893375975585,79,107
03f801a44590b3ce7cee30028a459d96,afeb2b96e36f1b38548959b3494a91e7,0.8393884337943345,29,60
782ffc63447b9fbec6db4892416f9a27,afeb2b96e36f1b38548959b3494a91e7,0.8586804673013179,88,118
dad99c177055b8ce7b397afd8eb45855,afeb2b96e36f1b38548959b3494a91e7,0.8327132776090952,46,98
5e3a2a84ecfb03343f7dcedf03af0e48,afeb2b96e36f1b38548959b3494a91e7,0.8251411709914778,46,68
4a71db6fbfae2006b7ef27226d38938a,afeb2b96e36f1b38548959b3494a91e7,0.9044618751836984,29,57
ef37fad80f168fe264fd23e8e023e8ec,afeb2b96e36f1b38548959b3494a91e7,0.8706791123864674,79,108
7557f4ea4dbed34f6911426a7e9bb0f4,afeb2b96e36f1b38548959b3494a91e7,0.8488455382940007,19,44
4d7bd6219142ae27064568f180eac3e3,afeb2b96e36f1b38548959b3494a91e7,0.838396675106109,75,113
31a6eb6b1942db53641b450ba8468cdb,afeb2b96e36f1b38548959b3494a91e7,0.8386156283964836,20,45
c55713319b3d1b08cab59c5a55fcf339,afeb2b96e36f1b38548959b3494a91e7,0.793228882838228,47,93
9cb28fcb0ecfbcbe99ab44c063fc491e,afeb2b96e36f1b38548959b3494a91e7,0.8240118456724074,26,69
7291ce251ddfdfe9bb13357096efc456,afeb2b96e36f1b38548959b3494a91e7,0.8225700845060542,66,98
6515244f09dec163e6c2dfb2dd30f8c7,afeb2b96e36f1b38548959b3494a91e7,0.8323892712752126,66,99
fd8b37b4f3de0419947feb8eab7c4c13,afeb2b96e36f1b38548959b3494a91e7,0.7763547484429647,78,110
3c271edb64581fdd4714eb3ccf6c8414,afeb2b96e36f1b38548959b3494a91e7,0.8840750116623972,19,50
0aa0e1cd01da970734c4bb9e56d0d8a4,afeb2b96e36f1b38548959b3494a91e7,0.8438355162793053,18,46
0177eea0b0ea6ceb0781a5bef5e1d7e9,afeb2b96e36f1b38548959b3494a91e7,0.847879049514176,39,69
3791d85d550705beacd25af72570b6e3,afeb2b96e36f1b38548959b3494a91e7,0.8946874349772115,75,102
6dbbc9aa0f3471366a03c101b7001b84,afeb2b96e36f1b38548959b3494a91e7,0.8068672233847352,19,48
901568c0053c196a230c0069bd437aeb,afeb2b96e36f1b38548959b3494a91e7,0.7892997077752331,53,67
18a500df68fe20828ca4d9140723bc9a,afeb2b96e36f1b38548959b3494a91e7,0.7473586092363426,48,76
d1a98d1595614d748c5a567677571f77,afeb2b96e36f1b38548959b3494a91e7,0.7291408824218775,13,34
7c062a1d43aa195425c701a17ff664ab,afeb2b96e36f1b38548959b3494a91e7,0.8232581998955246,16,58
73ee4543e0e5fb016ae6563bf33512e1,afeb2b96e36f1b38548959b3494a91e7,0.8278312404967577,87,110
ddabae84124e6bbee4ecd7b33d8f8a14,afeb2b96e36f1b38548959b3494a91e7,0.8600875617907722,106,120
ba9367f979b8cdc5a4296255ef02f2ca,afeb2b96e36f1b38548959b3494a91e7,0.7649398709150059,80,110
be09bb37b3c4f4a5646d2817566db394,afeb2b96e36f1b38548959b3494a91e7,0.9750218386992323,80,100
22236e081557378b08ec2e25c512300c,afeb2b96e36f1b38548959b3494a91e7,0.7902078832403115,67,91
854c720c427ea60ca1f63b34e1350fa6,afeb2b96e36f1b38548959b3494a91e7,0.8555331864926097,78,106
6d5a04674b5e889ea71f504c7153efcc,afeb2b96e36f1b38548959b3494a91e7,0.8364676941028477,104,127
c73e43ceab6a248e13011fc402a407ad,afeb2b96e36f1b38548959b3494a91e7,0.8666662059930057,104,124
91d15e56202ae6f6501977c6cf3f60f9,afeb2b96e36f1b38548959b3494a91e7,0.9263227965494092,68,92
bbb105740f1dc26872d6a298412d6ae1,afeb2b96e36f1b38548959b3494a91e7,0.8483624615947658,76,100
0efe8980788743a14b843840afeace95,afeb2b96e36f1b38548959b3494a91e7,0.8117970278153162,30,55
d7f3a69fd75715dbf500284f5920908f,afeb2b96e36f1b38548959b3494a91e7,0.7999208688304331,87,111
b38a6f4c264e73bb24a0d8f45b384ec0,afeb2b96e36f1b38548959b3494a91e7,0.9141528547062575,65,94
7b2c850711a5e5e8a6e2b965f5f59699,afeb2b96e36f1b38548959b3494a91e7,0.8061287796156744,45,64
d29f1c2a1bdac61dda12120cda77ef85,afeb2b96e36f1b38548959b3494a91e7,0.8148895480450492,28,64
8ad3410c8f979f54981e0a8d298a087f,afeb2b96e36f1b38548959b3494a91e7,0.8493843087840859,80,94
be28556a25f10e75e018026d3ec60ebf,afeb2b96e36f1b38548959b3494a91e7,0.9450985448936936,46,70
65139ef73d12b348c614b6ab57429e97,afeb2b96e36f1b38548959b3494a91e7,0.7628074471102525,69,89
54b87e1defedf211201040b888ea56b0,afeb2b96e36f1b38548959b3494a91e7,0.9103245948904464,87,120
9c05004411017ddb9f30823364fefd4f,afeb2b96e36f1b38548959b3494a91e7,0.8910970432194563,53,70
ae376b0c4258cf99f10cf4d47e73e4af,afeb2b96e36f1b38548959b3494a91e7,0.8258261907203576,67,106
1695b0db7bfd9d583c76b314176cdc50,afeb2b96e36f1b38548959b3494a91e7,0.7861635885782656,105,135
5bfae3cc59f8412e69097e9f652bd25b,afeb2b96e36f1b38548959b3494a91e7,0.7556028381472604,16,32
9108e9cfb733e4a0787004ac8898bbd3,afeb2b96e36f1b38548959b3494a91e7,0.8362494277344976,100,117
014ef88d23ef4cfb1fcb13a3e36189ca,afeb2b96e36f1b38548959b3494a91e7,0.8329736153597687,41,55
8d86a91f7d53bcff68deeef1efdcbf33,afeb2b96e36f1b38548959b3494a91e7,0.8865131947847193,88,101
826b38b5568e6bb65f64e2638dacf3be,afeb2b96e36f1b38548959b3494a91e7,0.8612161146214835,47,62
6cc652f2389a825446616471c620742b,afeb2b96e36f1b38548959b3494a91e7,0.9011473641869748,46,59
e7466d423c17c1fc57501fa650ac0da4,afeb2b96e36f1b38548959b3494a91e7,0.8060657371586798,66,91
770c1b2d953c6781e2c9f9dbbfaa4aa0,afeb2b96e36f1b38548959b3494a91e7,0.9385240063347595,66,105
4158906ff7878f930333f095b8d02405,afeb2b96e36f1b38548959b3494a91e7,0.7857494648075933,30,47
284dcb94fec0c0f416b0e7429fc19f40,afeb2b96e36f1b38548959b3494a91e7,0.9519541941237806,46,57
2feaae5e149680d205e54e46821849fe,afeb2b96e36f1b38548959b3494a91e7,0.8518883357129072,30,51
8e37aa9d54bedaf6f08d609315297ab3,afeb2b96e36f1b38548959b3494a91e7,0.7170285359451687,25,66
54982e00b909cfb9b27a068c92b44173,afeb2b96e36f1b38548959b3494a91e7,0.9678698828461961,20,40
7f948e07dc0070631b6ea57aa9a712a1,afeb2b96e36f1b38548959b3494a91e7,0.831801439231648,97,129
6717a7dc69edb0af69aa41a70ad41d38,afeb2b96e36f1b38548959b3494a91e7,0.7626620627601642,88,130
2e5b8beab9a02085e7b74ac30d63b73b,afeb2b96e36f1b38548959b3494a91e7,0.8658508166496205,53,83
fcf3342c3caa3387d8cc06f8099ee1c3,afeb2b96e36f1b38548959b3494a91e7,0.7996997491037943,85,128
17a6e4fc7154c6f13f8388cca51b1d01,afeb2b96e36f1b38548959b3494a91e7,0.8348803693366825,43,68
1f3b26da8f755255b670915ecf8408ac,afeb2b96e36f1b38548959b3494a91e7,0.846674790237358,45,68
9ef95afccfa9c3ecdff6760594c0c047,afeb2b96e36f1b38548959b3494a91e7,0.832613586840216,10,31
19acf6c5385fb07c32dd7d98c886ea3e,afeb2b96e36f1b38548959b3494a91e7,0.927829706449013,10,31
82054880969f47578dfb67db484f24d9,afeb2b96e36f1b38548959b3494a91e7,0.8524568293790893,77,115
c4f0f58d1af2223da0519dc0496e7600,afeb2b96e36f1b38548959b3494a91e7,0.8054801084206751,52,65
5ca56b8acd946638724675dfae3468df,afeb2b96e36f1b38548959b3494a91e7,0.9350286586417202,46,60
